ID,Cod_Tipo_Cart_Rel,UF,Esfera,Quantidade_media_guias,Volume_medio_arrecadado,Volume_medio_tarifas,Margem_contribuicao_media,Tarifa_media
500410258,407,PB,MUNICIPAL,1109,3170.8,999.0,167.4,0.94
511246119,406,SC,MUNICIPAL,5261,7029.4,4555.2,235.0,0.94
603102111,406,MG,MUNICIPAL,2071,5980.67,1465.33,0.0,0.94
800098008,406,BA,MUNICIPAL,16114,75.67,15096.67,634.0,0.94
800498919,406,MA,MUNICIPAL,490,8422.5,448.5,0.0,0.94
800781295,407,PI,MUNICIPAL,248,6129.67,144.0,0.0,0.94
906072673,407,SE,MUNICIPAL,156,205887.5,99.0,0.0,0.94
436905,407,PR,MUNICIPAL,1328,26332.5,1335.0,65.0,0.93
593373,407,MS,MUNICIPAL,860,189476.0,797.0,0.0,0.93
101401854,406,RJ,MUNICIPAL,34324,11382.0,31857.0,0.0,0.93
104589117,407,MT,MUNICIPAL,370,0.0,345.0,431.0,0.93
104789150,406,AL,MUNICIPAL,15677,354295.33,11624.0,0.0,0.93
105527245,407,MG,MUNICIPAL,25,112.0,22.0,0.0,0.93
204326626,407,SC,MUNICIPAL,651,10268.4,541.6,0.0,0.93
204861370,407,RS,MUNICIPAL,566,4291.5,574.5,0.0,0.93
300253067,406,MT,MUNICIPAL,1101,16846.67,1033.33,107.0,0.93
700480693,407,SC,MUNICIPAL,2308,1281.6,1982.8,134.0,0.93
844568238,406,MA,MUNICIPAL,243,0.0,251.75,0.0,0.93
906070792,406,BA,MUNICIPAL,2413,21579.5,2161.0,0.0,0.93
906070876,407,CE,MUNICIPAL,772,4681.5,670.75,42.25,0.93
906071906,407,SE,MUNICIPAL,94,332.0,87.0,0.0,0.93
933887049,403,AM,ESTADUAL,1132,0.0,1118.67,0.0,0.93
81276,407,PR,MUNICIPAL,2545,1346.5,2293.5,0.0,0.92
103566019,406,CE,MUNICIPAL,1275,2368.5,1115.0,209.5,0.92
103752864,406,CE,MUNICIPAL,373,3942.67,180.67,0.0,0.92
104546388,406,MT,MUNICIPAL,10365,50197.67,9731.0,0.0,0.92
104555351,406,MT,MUNICIPAL,2272,5762.0,1786.8,36.6,0.92
105023630,407,MG,MUNICIPAL,131,0.0,118.0,0.0,0.92
105550996,407,MG,MUNICIPAL,78,5884.33,76.67,13.0,0.92
105553062,406,MA,MUNICIPAL,97,17985.67,92.0,0.0,0.92
106349224,406,RJ,MUNICIPAL,593,616.25,575.0,0.0,0.92
106446074,407,BA,MUNICIPAL,268,3808.0,247.0,0.0,0.92
106447319,407,GO,MUNICIPAL,1584,889.0,1479.5,0.0,0.92
200365640,406,SP,MUNICIPAL,14420,34478.75,14329.75,1694.0,0.92
200379038,406,SP,MUNICIPAL,2679,5855.0,2538.0,0.0,0.92
200547809,407,SP,MUNICIPAL,75,0.0,69.0,0.0,0.92
201146022,406,SP,MUNICIPAL,2231,23999.0,1407.0,722.5,0.92
204335033,407,RS,MUNICIPAL,281,387.5,155.0,48.0,0.92
300045618,406,PA,MUNICIPAL,4002,8925.5,4038.5,666.5,0.92
303868683,405,PA,MUNICIPAL,1076,3771.25,871.75,0.0,0.92
334062488,406,MG,MUNICIPAL,938,2318.5,745.25,76.75,0.92
600745575,407,MG,MUNICIPAL,661,204812.0,642.5,0.0,0.92
800893460,406,BA,MUNICIPAL,1014,3600.0,933.0,383.0,0.92
901613193,407,SP,MUNICIPAL,2513,15247.0,2294.25,0.0,0.92
906072331,405,MA,MUNICIPAL,2202,8273.4,1971.4,0.0,0.92
578510,407,MS,MUNICIPAL,171,5326.0,155.0,0.0,0.91
104348539,407,RO,MUNICIPAL,3870,5299.67,3498.0,325.67,0.91
104495129,407,TO,MUNICIPAL,1096,9084.0,901.0,0.0,0.91
104725272,406,BA,MUNICIPAL,2058,19111.75,1787.5,0.0,0.91
104975663,407,MG,MUNICIPAL,1942,1258.5,1719.5,0.0,0.91
105100197,407,MG,MUNICIPAL,482,5693.5,371.5,0.0,0.91
105125849,405,AC,MUNICIPAL,837,14053.33,962.0,0.0,0.91
105140896,406,CE,MUNICIPAL,1447,12140.0,1316.0,0.0,0.91
106014315,405,AL,MUNICIPAL,3634,1968.0,3252.2,0.0,0.91
200165069,406,SP,MUNICIPAL,630,80.5,737.0,0.0,0.91
206363183,420,AM,MUNICIPAL,1304,13070.0,835.2,0.0,0.91
402111135,407,RS,MUNICIPAL,1813,13143.0,1811.33,0.0,0.91
416533543,407,PI,MUNICIPAL,1039,15751.0,1111.33,0.0,0.91
424092901,407,PI,MUNICIPAL,962,17576.0,791.4,235.2,0.91
500472104,406,CE,MUNICIPAL,2110,1239.33,2425.33,0.0,0.91
502559235,407,PE,MUNICIPAL,367,0.0,259.0,16.5,0.91
513991481,407,MS,MUNICIPAL,2753,148.0,2115.5,75.5,0.91
517054863,406,CE,MUNICIPAL,11,0.0,6.0,0.0,0.91
600903921,406,MG,MUNICIPAL,4636,3762.0,4220.0,0.0,0.91
906070962,407,ES,MUNICIPAL,155,4773.0,121.33,0.0,0.91
914200901,406,BA,MUNICIPAL,22173,648992.25,19482.75,0.0,0.91
596701,407,MS,MUNICIPAL,1888,4935.0,1341.5,0.0,0.9
101451231,406,RJ,MUNICIPAL,18385,44714.6,14295.6,0.0,0.9
104502542,407,TO,MUNICIPAL,882,1431.33,803.33,0.0,0.9
104842058,407,RO,MUNICIPAL,918,38447.67,852.0,0.0,0.9
105553616,405,RR,MUNICIPAL,182,0.0,163.0,0.0,0.9
106159868,406,AL,MUNICIPAL,2852,1780.67,2748.67,346.0,0.9
106280793,406,GO,MUNICIPAL,430,134250.25,422.5,0.0,0.9
205181603,407,PR,MUNICIPAL,655,3883.0,601.8,0.0,0.9
205798239,406,MS,MUNICIPAL,11480,134247.0,8582.4,1034.4,0.9
300347358,407,GO,MUNICIPAL,1073,3914.5,905.5,0.0,0.9
300613273,405,AM,MUNICIPAL,825,456.0,746.0,0.0,0.9
400817583,406,RS,MUNICIPAL,1662,23863.5,1637.0,0.0,0.9
502829896,407,RN,MUNICIPAL,569,142531.33,439.67,0.0,0.9
600441384,407,MG,MUNICIPAL,106,2956.5,91.75,4.0,0.9
900503794,406,SP,MUNICIPAL,51,0.0,42.5,19.5,0.9
903421893,406,RJ,MUNICIPAL,515,398.8,444.6,27.6,0.9
906070676,407,AL,MUNICIPAL,71,1161.25,61.5,0.0,0.9
906070901,405,CE,MUNICIPAL,11313,9534.75,9386.25,0.0,0.9
906070919,406,CE,MUNICIPAL,2538,3039.5,1945.5,808.0,0.9
906071059,406,MA,MUNICIPAL,110,14522.0,87.75,0.0,0.9
906071226,407,MT,MUNICIPAL,2282,14955.33,2013.67,0.0,0.9
910586370,405,MA,MUNICIPAL,931,3003.2,722.0,77.2,0.9
101018218,407,MG,MUNICIPAL,286,0.0,376.0,0.0,0.89
101109477,407,ES,MUNICIPAL,797,7876.6,651.6,75.0,0.89
101227402,407,ES,MUNICIPAL,385,7110.0,283.5,0.0,0.89
103119460,406,RJ,MUNICIPAL,9028,25808.5,7989.5,0.0,0.89
103464532,407,RN,MUNICIPAL,183,16716.5,159.0,0.0,0.89
103797286,407,PI,MUNICIPAL,27,2056.5,23.0,0.0,0.89
104535597,407,RO,MUNICIPAL,1026,59158.67,957.33,0.0,0.89
104931057,407,BA,MUNICIPAL,281,2277.0,250.0,0.0,0.89
105130681,407,MG,MUNICIPAL,2274,8376.33,1923.33,0.0,0.89
105557830,407,MG,MUNICIPAL,554,10559.0,503.4,12.6,0.89
105687670,405,GO,MUNICIPAL,11716,30697.0,9746.0,0.0,0.89
105724047,407,MA,MUNICIPAL,308,38310.0,270.33,43.67,0.89
105889235,405,PE,MUNICIPAL,129,4911.0,115.0,0.0,0.89
200637514,406,SP,MUNICIPAL,11145,3150.5,9008.75,0.0,0.89
203220939,407,RS,MUNICIPAL,1553,5087.4,1256.8,229.2,0.89
204433177,406,RS,MUNICIPAL,13871,55477.33,10262.67,0.0,0.89
204808779,407,SP,MUNICIPAL,623,902.0,565.8,36.4,0.89
205799746,407,RS,MUNICIPAL,597,169.75,602.25,0.0,0.89
